The teacher loaded the [theme] onto the [goal]. , The [theme] was loaded onto the [goal]. , The teacher loaded the [goal] with the [theme]. , The [goal] was loaded with the [theme]. , Did the teacher load the [theme] onto the [goal]? , Was the [theme] loaded onto the [goal]? , Did the teacher load the [goal] with the [theme]? , Was the [goal] loaded with the [theme]? , The teacher seems to have loaded the [theme] onto the [goal]. , The [theme] seems to have been loaded onto the [goal]. , The teacher seems to have loaded the [goal] with the [theme]. , The [goal] seems to have been loaded with the [theme]. , The teacher didn't load the [theme] onto the [goal]. , The [theme] wasn't loaded onto the [goal]. , The teacher didn't load the [goal] with the [theme]. , The [goal] wasn't loaded with the [theme]. , It was the [theme] that the teacher loaded onto the [goal]. , It was the [goal] that the teacher loaded the [theme] onto. , It was the [theme] that was loaded onto the [goal]. , It was the [goal] that the [theme] was loaded onto. , It was the [goal] that the teacher loaded with the [theme]. , It was the [theme] that the teacher loaded the [goal] with. , It was the [goal] that was loaded with the [theme]. , It was the [theme] that the [goal] was loaded with. , Which [theme] did the teacher load onto the [goal]? , Which [goal] did the teacher load the [theme] onto? , Which [theme] was loaded onto the [goal]? , Which [goal] was the [theme] loaded onto? , Which [goal] did the teacher load with the [theme]? , Which [theme] did the teacher load the [goal] with? , Which [goal] was loaded with the [theme]? , Which [theme] was the [goal] loaded with? , I wonder which [theme] the teacher loaded onto the [goal]. , I wonder which [goal] the teacher loaded the [theme] onto. , I wonder which [theme] was loaded onto the [goal]. , I wonder which [goal] the [theme] was loaded onto. , I wonder which [goal] the teacher loaded with the [theme]. , I wonder which [theme] the teacher loaded the [goal] with. , I wonder which [goal] was loaded with the [theme]. , I wonder which [theme] the [goal] was loaded with. , The teacher loaded out the [theme] onto the [goal]. , The teacher loaded the [theme] out onto the [goal]. , The [theme] was loaded out onto the [goal]. , The teacher that loaded the [theme] onto the [goal] was everyone's favorite. , The [theme] that the teacher loaded onto the [goal] was everyone's favorite. , The [goal] that the teacher loaded the [theme] onto was everyone's favorite. , The [theme] that was loaded onto the [goal] was everyone's favorite. , The [goal] that the [theme] was loaded onto was everyone's favorite. , The teacher that loaded the [goal] with the [theme] was everyone's favorite. , The [goal] that the teacher loaded with the [theme] was everyone's favorite. , The [theme] that the teacher loaded the [goal] with was everyone's favorite. , The [goal] that was loaded with the [theme] was everyone's favorite. , The [theme] that the [goal] was loaded with was everyone's favorite.
The worker loaded the [theme] onto the [goal]. , The [theme] was loaded onto the [goal]. , The worker loaded the [goal] with the [theme]. , The [goal] was loaded with the [theme]. , Did the worker load the [theme] onto the [goal]? , Was the [theme] loaded onto the [goal]? , Did the worker load the [goal] with the [theme]? , Was the [goal] loaded with the [theme]? , The worker seems to have loaded the [theme] onto the [goal]. , The [theme] seems to have been loaded onto the [goal]. , The worker seems to have loaded the [goal] with the [theme]. , The [goal] seems to have been loaded with the [theme]. , The worker didn't load the [theme] onto the [goal]. , The [theme] wasn't loaded onto the [goal]. , The worker didn't load the [goal] with the [theme]. , The [goal] wasn't loaded with the [theme]. , It was the [theme] that the worker loaded onto the [goal]. , It was the [goal] that the worker loaded the [theme] onto. , It was the [theme] that was loaded onto the [goal]. , It was the [goal] that the [theme] was loaded onto. , It was the [goal] that the worker loaded with the [theme]. , It was the [theme] that the worker loaded the [goal] with. , It was the [goal] that was loaded with the [theme]. , It was the [theme] that the [goal] was loaded with. , Which [theme] did the worker load onto the [goal]? , Which [goal] did the worker load the [theme] onto? , Which [theme] was loaded onto the [goal]? , Which [goal] was the [theme] loaded onto? , Which [goal] did the worker load with the [theme]? , Which [theme] did the worker load the [goal] with? , Which [goal] was loaded with the [theme]? , Which [theme] was the [goal] loaded with? , I wonder which [theme] the worker loaded onto the [goal]. , I wonder which [goal] the worker loaded the [theme] onto. , I wonder which [theme] was loaded onto the [goal]. , I wonder which [goal] the [theme] was loaded onto. , I wonder which [goal] the worker loaded with the [theme]. , I wonder which [theme] the worker loaded the [goal] with. , I wonder which [goal] was loaded with the [theme]. , I wonder which [theme] the [goal] was loaded with. , The worker loaded out the [theme] onto the [goal]. , The worker loaded the [theme] out onto the [goal]. , The [theme] was loaded out onto the [goal]. , The worker that loaded the [theme] onto the [goal] was everyone's favorite. , The [theme] that the worker loaded onto the [goal] was everyone's favorite. , The [goal] that the worker loaded the [theme] onto was everyone's favorite. , The [theme] that was loaded onto the [goal] was everyone's favorite. , The [goal] that the [theme] was loaded onto was everyone's favorite. , The worker that loaded the [goal] with the [theme] was everyone's favorite. , The [goal] that the worker loaded with the [theme] was everyone's favorite. , The [theme] that the worker loaded the [goal] with was everyone's favorite. , The [goal] that was loaded with the [theme] was everyone's favorite. , The [theme] that the [goal] was loaded with was everyone's favorite.
The student loaded some [theme] onto the [goal]. , Some [theme] was loaded onto the [goal]. , The student loaded the [goal] with some [theme]. , The [goal] was loaded with some [theme]. , Did the student load some [theme] onto the [goal]? , Was some [theme] loaded onto the [goal]? , Did the student load the [goal] with some [theme]? , Was the [goal] loaded with some [theme]? , The student seems to have loaded some [theme] onto the [goal]. , Some [theme] seems to have been loaded onto the [goal]. , The student seems to have loaded the [goal] with some [theme]. , The [goal] seems to have been loaded with some [theme]. , The student didn't load some [theme] onto the [goal]. , Some [theme] wasn't loaded onto the [goal]. , The student didn't load the [goal] with some [theme]. , The [goal] wasn't loaded with some [theme]. , It was some [theme] that the student loaded onto the [goal]. , It was the [goal] that the student loaded some [theme] onto. , It was some [theme] that was loaded onto the [goal]. , It was the [goal] that some [theme] was loaded onto. , It was the [goal] that the student loaded with some [theme]. , It was some [theme] that the student loaded the [goal] with. , It was the [goal] that was loaded with some [theme]. , It was some [theme] that the [goal] was loaded with. , Which [theme] did the student load onto the [goal]? , Which [goal] did the student load some [theme] onto? , Which [theme] was loaded onto the [goal]? , Which [goal] was some [theme] loaded onto? , Which [goal] did the student load with some [theme]? , Which [theme] did the student load the [goal] with? , Which [goal] was loaded with some [theme]? , Which [theme] was the [goal] loaded with? , I wonder which [theme] the student loaded onto the [goal]. , I wonder which [goal] the student loaded some [theme] onto. , I wonder which [theme] was loaded onto the [goal]. , I wonder which [goal] some [theme] was loaded onto. , I wonder which [goal] the student loaded with some [theme]. , I wonder which [theme] the student loaded the [goal] with. , I wonder which [goal] was loaded with some [theme]. , I wonder which [theme] the [goal] was loaded with. , The student loaded out some [theme] onto the [goal]. , The student loaded some [theme] out onto the [goal]. , Some [theme] was loaded out onto the [goal]. , The student that loaded some [theme] onto the [goal] was everyone's favorite. , Some [theme] that the student loaded onto the [goal] was everyone's favorite. , The [goal] that the student loaded some [theme] onto was everyone's favorite. , Some [theme] that was loaded onto the [goal] was everyone's favorite. , The [goal] that some [theme] was loaded onto was everyone's favorite. , The student that loaded the [goal] with some [theme] was everyone's favorite. , The [goal] that the student loaded with some [theme] was everyone's favorite. , Some [theme] that the student loaded the [goal] with was everyone's favorite. , The [goal] that was loaded with some [theme] was everyone's favorite. , Some [theme] that the [goal] was loaded with was everyone's favorite.
The dentist loaded some [theme] onto the [goal]. , Some [theme] was loaded onto the [goal]. , The dentist loaded the [goal] with some [theme]. , The [goal] was loaded with some [theme]. , Did the dentist load some [theme] onto the [goal]? , Was some [theme] loaded onto the [goal]? , Did the dentist load the [goal] with some [theme]? , Was the [goal] loaded with some [theme]? , The dentist seems to have loaded some [theme] onto the [goal]. , Some [theme] seems to have been loaded onto the [goal]. , The dentist seems to have loaded the [goal] with some [theme]. , The [goal] seems to have been loaded with some [theme]. , The dentist didn't load some [theme] onto the [goal]. , Some [theme] wasn't loaded onto the [goal]. , The dentist didn't load the [goal] with some [theme]. , The [goal] wasn't loaded with some [theme]. , It was some [theme] that the dentist loaded onto the [goal]. , It was the [goal] that the dentist loaded some [theme] onto. , It was some [theme] that was loaded onto the [goal]. , It was the [goal] that some [theme] was loaded onto. , It was the [goal] that the dentist loaded with some [theme]. , It was some [theme] that the dentist loaded the [goal] with. , It was the [goal] that was loaded with some [theme]. , It was some [theme] that the [goal] was loaded with. , Which [theme] did the dentist load onto the [goal]? , Which [goal] did the dentist load some [theme] onto? , Which [theme] was loaded onto the [goal]? , Which [goal] was some [theme] loaded onto? , Which [goal] did the dentist load with some [theme]? , Which [theme] did the dentist load the [goal] with? , Which [goal] was loaded with some [theme]? , Which [theme] was the [goal] loaded with? , I wonder which [theme] the dentist loaded onto the [goal]. , I wonder which [goal] the dentist loaded some [theme] onto. , I wonder which [theme] was loaded onto the [goal]. , I wonder which [goal] some [theme] was loaded onto. , I wonder which [goal] the dentist loaded with some [theme]. , I wonder which [theme] the dentist loaded the [goal] with. , I wonder which [goal] was loaded with some [theme]. , I wonder which [theme] the [goal] was loaded with. , The dentist loaded out some [theme] onto the [goal]. , The dentist loaded some [theme] out onto the [goal]. , Some [theme] was loaded out onto the [goal]. , The dentist that loaded some [theme] onto the [goal] was everyone's favorite. , Some [theme] that the dentist loaded onto the [goal] was everyone's favorite. , The [goal] that the dentist loaded some [theme] onto was everyone's favorite. , Some [theme] that was loaded onto the [goal] was everyone's favorite. , The [goal] that some [theme] was loaded onto was everyone's favorite. , The dentist that loaded the [goal] with some [theme] was everyone's favorite. , The [goal] that the dentist loaded with some [theme] was everyone's favorite. , Some [theme] that the dentist loaded the [goal] with was everyone's favorite. , The [goal] that was loaded with some [theme] was everyone's favorite. , Some [theme] that the [goal] was loaded with was everyone's favorite.
The teacher loaded [theme] onto the [goal]. , [theme] was loaded onto the [goal]. , The teacher loaded the [goal] with [theme]. , The [goal] was loaded with [theme]. , Did the teacher load [theme] onto the [goal]? , Was [theme] loaded onto the [goal]? , Did the teacher load the [goal] with [theme]? , Was the [goal] loaded with [theme]? , The teacher seems to have loaded [theme] onto the [goal]. , [theme] seems to have been loaded onto the [goal]. , The teacher seems to have loaded the [goal] with [theme]. , The [goal] seems to have been loaded with [theme]. , The teacher didn't load [theme] onto the [goal]. , [theme] wasn't loaded onto the [goal]. , The teacher didn't load the [goal] with [theme]. , The [goal] wasn't loaded with [theme]. , It was [theme] that the teacher loaded onto the [goal]. , It was the [goal] that the teacher loaded [theme] onto. , It was [theme] that was loaded onto the [goal]. , It was the [goal] that [theme] was loaded onto. , It was the [goal] that the teacher loaded with [theme]. , It was [theme] that the teacher loaded the [goal] with. , It was the [goal] that was loaded with [theme]. , It was [theme] that the [goal] was loaded with. , Which [theme] did the teacher load onto the [goal]? , Which [goal] did the teacher load [theme] onto? , Which [theme] was loaded onto the [goal]? , Which [goal] was [theme] loaded onto? , Which [goal] did the teacher load with [theme]? , Which [theme] did the teacher load the [goal] with? , Which [goal] was loaded with [theme]? , Which [theme] was the [goal] loaded with? , I wonder which [theme] the teacher loaded onto the [goal]. , I wonder which [goal] the teacher loaded [theme] onto. , I wonder which [theme] was loaded onto the [goal]. , I wonder which [goal] [theme] was loaded onto. , I wonder which [goal] the teacher loaded with [theme]. , I wonder which [theme] the teacher loaded the [goal] with. , I wonder which [goal] was loaded with [theme]. , I wonder which [theme] the [goal] was loaded with. , The teacher loaded out [theme] onto the [goal]. , The teacher loaded [theme] out onto the [goal]. , [theme] was loaded out onto the [goal]. , The teacher that loaded [theme] onto the [goal] was everyone's favorite. , [theme] that the teacher loaded onto the [goal] was everyone's favorite. , The [goal] that the teacher loaded [theme] onto was everyone's favorite. , [theme] that was loaded onto the [goal] was everyone's favorite. , The [goal] that [theme] was loaded onto was everyone's favorite. , The teacher that loaded the [goal] with [theme] was everyone's favorite. , The [goal] that the teacher loaded with [theme] was everyone's favorite. , [theme] that the teacher loaded the [goal] with was everyone's favorite. , The [goal] that was loaded with [theme] was everyone's favorite. , [theme] that the [goal] was loaded with was everyone's favorite.
The student loaded [theme] onto the [goal]. , [theme] was loaded onto the [goal]. , The student loaded the [goal] with [theme]. , The [goal] was loaded with [theme]. , Did the student load [theme] onto the [goal]? , Was [theme] loaded onto the [goal]? , Did the student load the [goal] with [theme]? , Was the [goal] loaded with [theme]? , The student seems to have loaded [theme] onto the [goal]. , [theme] seems to have been loaded onto the [goal]. , The student seems to have loaded the [goal] with [theme]. , The [goal] seems to have been loaded with [theme]. , The student didn't load [theme] onto the [goal]. , [theme] wasn't loaded onto the [goal]. , The student didn't load the [goal] with [theme]. , The [goal] wasn't loaded with [theme]. , It was [theme] that the student loaded onto the [goal]. , It was the [goal] that the student loaded [theme] onto. , It was [theme] that was loaded onto the [goal]. , It was the [goal] that [theme] was loaded onto. , It was the [goal] that the student loaded with [theme]. , It was [theme] that the student loaded the [goal] with. , It was the [goal] that was loaded with [theme]. , It was [theme] that the [goal] was loaded with. , Which [theme] did the student load onto the [goal]? , Which [goal] did the student load [theme] onto? , Which [theme] was loaded onto the [goal]? , Which [goal] was [theme] loaded onto? , Which [goal] did the student load with [theme]? , Which [theme] did the student load the [goal] with? , Which [goal] was loaded with [theme]? , Which [theme] was the [goal] loaded with? , I wonder which [theme] the student loaded onto the [goal]. , I wonder which [goal] the student loaded [theme] onto. , I wonder which [theme] was loaded onto the [goal]. , I wonder which [goal] [theme] was loaded onto. , I wonder which [goal] the student loaded with [theme]. , I wonder which [theme] the student loaded the [goal] with. , I wonder which [goal] was loaded with [theme]. , I wonder which [theme] the [goal] was loaded with. , The student loaded out [theme] onto the [goal]. , The student loaded [theme] out onto the [goal]. , [theme] was loaded out onto the [goal]. , The student that loaded [theme] onto the [goal] was everyone's favorite. , [theme] that the student loaded onto the [goal] was everyone's favorite. , The [goal] that the student loaded [theme] onto was everyone's favorite. , [theme] that was loaded onto the [goal] was everyone's favorite. , The [goal] that [theme] was loaded onto was everyone's favorite. , The student that loaded the [goal] with [theme] was everyone's favorite. , The [goal] that the student loaded with [theme] was everyone's favorite. , [theme] that the student loaded the [goal] with was everyone's favorite. , The [goal] that was loaded with [theme] was everyone's favorite. , [theme] that the [goal] was loaded with was everyone's favorite.
The man loaded the [theme] onto a [goal]. , The [theme] was loaded onto a [goal]. , The man loaded a [goal] with the [theme]. , A [goal] was loaded with the [theme]. , Did the man load the [theme] onto a [goal]? , Was the [theme] loaded onto a [goal]? , Did the man load a [goal] with the [theme]? , Was a [goal] loaded with the [theme]? , The man seems to have loaded the [theme] onto a [goal]. , The [theme] seems to have been loaded onto a [goal]. , The man seems to have loaded a [goal] with the [theme]. , A [goal] seems to have been loaded with the [theme]. , The man didn't load the [theme] onto a [goal]. , The [theme] wasn't loaded onto a [goal]. , The man didn't load a [goal] with the [theme]. , A [goal] wasn't loaded with the [theme]. , It was the [theme] that the man loaded onto a [goal]. , It was a [goal] that the man loaded the [theme] onto. , It was the [theme] that was loaded onto a [goal]. , It was a [goal] that the [theme] was loaded onto. , It was a [goal] that the man loaded with the [theme]. , It was the [theme] that the man loaded a [goal] with. , It was a [goal] that was loaded with the [theme]. , It was the [theme] that a [goal] was loaded with. , Which [theme] did the man load onto a [goal]? , Which [goal] did the man load the [theme] onto? , Which [theme] was loaded onto a [goal]? , Which [goal] was the [theme] loaded onto? , Which [goal] did the man load with the [theme]? , Which [theme] did the man load a [goal] with? , Which [goal] was loaded with the [theme]? , Which [theme] was a [goal] loaded with? , I wonder which [theme] the man loaded onto a [goal]. , I wonder which [goal] the man loaded the [theme] onto. , I wonder which [theme] was loaded onto a [goal]. , I wonder which [goal] the [theme] was loaded onto. , I wonder which [goal] the man loaded with the [theme]. , I wonder which [theme] the man loaded a [goal] with. , I wonder which [goal] was loaded with the [theme]. , I wonder which [theme] a [goal] was loaded with. , The man loaded out the [theme] onto a [goal]. , The man loaded the [theme] out onto a [goal]. , The [theme] was loaded out onto a [goal]. , The man that loaded the [theme] onto a [goal] was everyone's favorite. , The [theme] that the man loaded onto a [goal] was everyone's favorite. , A [goal] that the man loaded the [theme] onto was everyone's favorite. , The [theme] that was loaded onto a [goal] was everyone's favorite. , A [goal] that the [theme] was loaded onto was everyone's favorite. , The man that loaded a [goal] with the [theme] was everyone's favorite. , A [goal] that the man loaded with the [theme] was everyone's favorite. , The [theme] that the man loaded a [goal] with was everyone's favorite. , A [goal] that was loaded with the [theme] was everyone's favorite. , The [theme] that a [goal] was loaded with was everyone's favorite.
The woman loaded the [theme] onto a [goal]. , The [theme] was loaded onto a [goal]. , The woman loaded a [goal] with the [theme]. , A [goal] was loaded with the [theme]. , Did the woman load the [theme] onto a [goal]? , Was the [theme] loaded onto a [goal]? , Did the woman load a [goal] with the [theme]? , Was a [goal] loaded with the [theme]? , The woman seems to have loaded the [theme] onto a [goal]. , The [theme] seems to have been loaded onto a [goal]. , The woman seems to have loaded a [goal] with the [theme]. , A [goal] seems to have been loaded with the [theme]. , The woman didn't load the [theme] onto a [goal]. , The [theme] wasn't loaded onto a [goal]. , The woman didn't load a [goal] with the [theme]. , A [goal] wasn't loaded with the [theme]. , It was the [theme] that the woman loaded onto a [goal]. , It was a [goal] that the woman loaded the [theme] onto. , It was the [theme] that was loaded onto a [goal]. , It was a [goal] that the [theme] was loaded onto. , It was a [goal] that the woman loaded with the [theme]. , It was the [theme] that the woman loaded a [goal] with. , It was a [goal] that was loaded with the [theme]. , It was the [theme] that a [goal] was loaded with. , Which [theme] did the woman load onto a [goal]? , Which [goal] did the woman load the [theme] onto? , Which [theme] was loaded onto a [goal]? , Which [goal] was the [theme] loaded onto? , Which [goal] did the woman load with the [theme]? , Which [theme] did the woman load a [goal] with? , Which [goal] was loaded with the [theme]? , Which [theme] was a [goal] loaded with? , I wonder which [theme] the woman loaded onto a [goal]. , I wonder which [goal] the woman loaded the [theme] onto. , I wonder which [theme] was loaded onto a [goal]. , I wonder which [goal] the [theme] was loaded onto. , I wonder which [goal] the woman loaded with the [theme]. , I wonder which [theme] the woman loaded a [goal] with. , I wonder which [goal] was loaded with the [theme]. , I wonder which [theme] a [goal] was loaded with. , The woman loaded out the [theme] onto a [goal]. , The woman loaded the [theme] out onto a [goal]. , The [theme] was loaded out onto a [goal]. , The woman that loaded the [theme] onto a [goal] was everyone's favorite. , The [theme] that the woman loaded onto a [goal] was everyone's favorite. , A [goal] that the woman loaded the [theme] onto was everyone's favorite. , The [theme] that was loaded onto a [goal] was everyone's favorite. , A [goal] that the [theme] was loaded onto was everyone's favorite. , The woman that loaded a [goal] with the [theme] was everyone's favorite. , A [goal] that the woman loaded with the [theme] was everyone's favorite. , The [theme] that the woman loaded a [goal] with was everyone's favorite. , A [goal] that was loaded with the [theme] was everyone's favorite. , The [theme] that a [goal] was loaded with was everyone's favorite.
The man loaded some [theme] onto a [goal]. , Some [theme] was loaded onto a [goal]. , The man loaded a [goal] with some [theme]. , A [goal] was loaded with some [theme]. , Did the man load some [theme] onto a [goal]? , Was some [theme] loaded onto a [goal]? , Did the man load a [goal] with some [theme]? , Was a [goal] loaded with some [theme]? , The man seems to have loaded some [theme] onto a [goal]. , Some [theme] seems to have been loaded onto a [goal]. , The man seems to have loaded a [goal] with some [theme]. , A [goal] seems to have been loaded with some [theme]. , The man didn't load some [theme] onto a [goal]. , Some [theme] wasn't loaded onto a [goal]. , The man didn't load a [goal] with some [theme]. , A [goal] wasn't loaded with some [theme]. , It was some [theme] that the man loaded onto a [goal]. , It was a [goal] that the man loaded some [theme] onto. , It was some [theme] that was loaded onto a [goal]. , It was a [goal] that some [theme] was loaded onto. , It was a [goal] that the man loaded with some [theme]. , It was some [theme] that the man loaded a [goal] with. , It was a [goal] that was loaded with some [theme]. , It was some [theme] that a [goal] was loaded with. , Which [theme] did the man load onto a [goal]? , Which [goal] did the man load some [theme] onto? , Which [theme] was loaded onto a [goal]? , Which [goal] was some [theme] loaded onto? , Which [goal] did the man load with some [theme]? , Which [theme] did the man load a [goal] with? , Which [goal] was loaded with some [theme]? , Which [theme] was a [goal] loaded with? , I wonder which [theme] the man loaded onto a [goal]. , I wonder which [goal] the man loaded some [theme] onto. , I wonder which [theme] was loaded onto a [goal]. , I wonder which [goal] some [theme] was loaded onto. , I wonder which [goal] the man loaded with some [theme]. , I wonder which [theme] the man loaded a [goal] with. , I wonder which [goal] was loaded with some [theme]. , I wonder which [theme] a [goal] was loaded with. , The man loaded out some [theme] onto a [goal]. , The man loaded some [theme] out onto a [goal]. , Some [theme] was loaded out onto a [goal]. , The man that loaded some [theme] onto a [goal] was everyone's favorite. , Some [theme] that the man loaded onto a [goal] was everyone's favorite. , A [goal] that the man loaded some [theme] onto was everyone's favorite. , Some [theme] that was loaded onto a [goal] was everyone's favorite. , A [goal] that some [theme] was loaded onto was everyone's favorite. , The man that loaded a [goal] with some [theme] was everyone's favorite. , A [goal] that the man loaded with some [theme] was everyone's favorite. , Some [theme] that the man loaded a [goal] with was everyone's favorite. , A [goal] that was loaded with some [theme] was everyone's favorite. , Some [theme] that a [goal] was loaded with was everyone's favorite.
The woman loaded some [theme] onto a [goal]. , Some [theme] was loaded onto a [goal]. , The woman loaded a [goal] with some [theme]. , A [goal] was loaded with some [theme]. , Did the woman load some [theme] onto a [goal]? , Was some [theme] loaded onto a [goal]? , Did the woman load a [goal] with some [theme]? , Was a [goal] loaded with some [theme]? , The woman seems to have loaded some [theme] onto a [goal]. , Some [theme] seems to have been loaded onto a [goal]. , The woman seems to have loaded a [goal] with some [theme]. , A [goal] seems to have been loaded with some [theme]. , The woman didn't load some [theme] onto a [goal]. , Some [theme] wasn't loaded onto a [goal]. , The woman didn't load a [goal] with some [theme]. , A [goal] wasn't loaded with some [theme]. , It was some [theme] that the woman loaded onto a [goal]. , It was a [goal] that the woman loaded some [theme] onto. , It was some [theme] that was loaded onto a [goal]. , It was a [goal] that some [theme] was loaded onto. , It was a [goal] that the woman loaded with some [theme]. , It was some [theme] that the woman loaded a [goal] with. , It was a [goal] that was loaded with some [theme]. , It was some [theme] that a [goal] was loaded with. , Which [theme] did the woman load onto a [goal]? , Which [goal] did the woman load some [theme] onto? , Which [theme] was loaded onto a [goal]? , Which [goal] was some [theme] loaded onto? , Which [goal] did the woman load with some [theme]? , Which [theme] did the woman load a [goal] with? , Which [goal] was loaded with some [theme]? , Which [theme] was a [goal] loaded with? , I wonder which [theme] the woman loaded onto a [goal]. , I wonder which [goal] the woman loaded some [theme] onto. , I wonder which [theme] was loaded onto a [goal]. , I wonder which [goal] some [theme] was loaded onto. , I wonder which [goal] the woman loaded with some [theme]. , I wonder which [theme] the woman loaded a [goal] with. , I wonder which [goal] was loaded with some [theme]. , I wonder which [theme] a [goal] was loaded with. , The woman loaded out some [theme] onto a [goal]. , The woman loaded some [theme] out onto a [goal]. , Some [theme] was loaded out onto a [goal]. , The woman that loaded some [theme] onto a [goal] was everyone's favorite. , Some [theme] that the woman loaded onto a [goal] was everyone's favorite. , A [goal] that the woman loaded some [theme] onto was everyone's favorite. , Some [theme] that was loaded onto a [goal] was everyone's favorite. , A [goal] that some [theme] was loaded onto was everyone's favorite. , The woman that loaded a [goal] with some [theme] was everyone's favorite. , A [goal] that the woman loaded with some [theme] was everyone's favorite. , Some [theme] that the woman loaded a [goal] with was everyone's favorite. , A [goal] that was loaded with some [theme] was everyone's favorite. , Some [theme] that a [goal] was loaded with was everyone's favorite.
