The teacher sprayed the [theme] onto the [goal]. , The teacher sprayed the [goal] with the [theme]. , The teacher rubbed the [theme] onto the [goal]. , The [theme] was rubbed onto the [goal]. , The teacher rubbed the [goal] with the [theme]. , The [goal] was rubbed with the [theme]. , The [theme] rubbed onto the [goal]. , The [theme] rubbed the [goal].
The worker sprayed the [theme] onto the [goal]. , The worker sprayed the [goal] with the [theme]. , The worker rubbed the [theme] onto the [goal]. , The [theme] was rubbed onto the [goal]. , The worker rubbed the [goal] with the [theme]. , The [goal] was rubbed with the [theme]. , The [theme] rubbed onto the [goal]. , The [theme] rubbed the [goal].
The student sprayed some [theme] onto the [goal]. , The student sprayed the [goal] with some [theme]. , The student rubbed some [theme] onto the [goal]. , Some [theme] was rubbed onto the [goal]. , The student rubbed the [goal] with some [theme]. , The [goal] was rubbed with some [theme]. , Some [theme] rubbed onto the [goal]. , Some [theme] rubbed the [goal].
The dentist sprayed some [theme] onto the [goal]. , The dentist sprayed the [goal] with some [theme]. , The dentist rubbed some [theme] onto the [goal]. , Some [theme] was rubbed onto the [goal]. , The dentist rubbed the [goal] with some [theme]. , The [goal] was rubbed with some [theme]. , Some [theme] rubbed onto the [goal]. , Some [theme] rubbed the [goal].
The teacher sprayed [theme] onto the [goal]. , The teacher sprayed the [goal] with [theme]. , The teacher rubbed [theme] onto the [goal]. , [theme] was rubbed onto the [goal]. , The teacher rubbed the [goal] with [theme]. , The [goal] was rubbed with [theme]. , [theme] rubbed onto the [goal]. , [theme] rubbed the [goal].
The student sprayed [theme] onto the [goal]. , The student sprayed the [goal] with [theme]. , The student rubbed [theme] onto the [goal]. , [theme] was rubbed onto the [goal]. , The student rubbed the [goal] with [theme]. , The [goal] was rubbed with [theme]. , [theme] rubbed onto the [goal]. , [theme] rubbed the [goal].
The man sprayed the [theme] onto a [goal]. , The man sprayed a [goal] with the [theme]. , The man rubbed the [theme] onto a [goal]. , The [theme] was rubbed onto a [goal]. , The man rubbed a [goal] with the [theme]. , A [goal] was rubbed with the [theme]. , The [theme] rubbed onto a [goal]. , The [theme] rubbed a [goal].
The woman sprayed the [theme] onto a [goal]. , The woman sprayed a [goal] with the [theme]. , The woman rubbed the [theme] onto a [goal]. , The [theme] was rubbed onto a [goal]. , The woman rubbed a [goal] with the [theme]. , A [goal] was rubbed with the [theme]. , The [theme] rubbed onto a [goal]. , The [theme] rubbed a [goal].
The man sprayed some [theme] onto a [goal]. , The man sprayed a [goal] with some [theme]. , The man rubbed some [theme] onto a [goal]. , Some [theme] was rubbed onto a [goal]. , The man rubbed a [goal] with some [theme]. , A [goal] was rubbed with some [theme]. , Some [theme] rubbed onto a [goal]. , Some [theme] rubbed a [goal].
The woman sprayed some [theme] onto a [goal]. , The woman sprayed a [goal] with some [theme]. , The woman rubbed some [theme] onto a [goal]. , Some [theme] was rubbed onto a [goal]. , The woman rubbed a [goal] with some [theme]. , A [goal] was rubbed with some [theme]. , Some [theme] rubbed onto a [goal]. , Some [theme] rubbed a [goal].
The person sprayed [theme] onto a [goal]. , The person sprayed a [goal] with [theme]. , The person rubbed [theme] onto a [goal]. , [theme] was rubbed onto a [goal]. , The person rubbed a [goal] with [theme]. , A [goal] was rubbed with [theme]. , [theme] rubbed onto a [goal]. , [theme] rubbed a [goal].
The doctor sprayed [theme] onto a [goal]. , The doctor sprayed a [goal] with [theme]. , The doctor rubbed [theme] onto a [goal]. , [theme] was rubbed onto a [goal]. , The doctor rubbed a [goal] with [theme]. , A [goal] was rubbed with [theme]. , [theme] rubbed onto a [goal]. , [theme] rubbed a [goal].
